Season,Team,Played,Won,Drawn,Lost,GS,GC,GD,Points
92-93,Man United,42,24,12,6,67,31,36,84
93-94,Man United,42,27,11,4,80,38,42,92
94-95,Blackburn,42,27,8,7,80,39,41,89
95-96,Man United,38,25,7,6,73,35,38,82
96-97,Man United,38,21,12,5,76,44,32,75
97-98,Arsenal,38,23,9,6,68,33,35,78
98-99,Man United,38,22,13,3,80,37,43,79
99-00,Man United,38,28,7,3,97,45,52,91
00-01,Man United,38,24,8,6,79,31,48,80
 01-02,Arsenal,38,26,9,3,79,36,43,87
 02-03,Man United,38,25,8,5,74,34,40,83
 03-04,Arsenal,38,26,12,0,73,26,47,90
 04-05,Chelsea,38,29,8,1,72,15,57,95
 05-06,Chelsea,38,29,4,5,72,22,50,91
 06-07,Man United,38,28,5,5,83,27,56,89
 07-08,Man United,38,27,6,5,80,22,58,87
 08-09,Man United,38,28,6,4,68,24,44,90
 09-10,Chelsea,38,27,5,6,103,32,71,86
 10-11,Man United,38,23,11,4,78,37,41,80
 11-12,Man City,38,28,5,5,93,29,64,89
 12-13,Man United,38,28,5,5,86,43,43,89
13-14,Man City,38,27,5,6,102,37,65,86
14-15,Chelsea,38,26,9,3,73,32,41,87
15-16,Leicester,38,23,12,3,68,36,32,81
16-17,Chelsea,38,30,3,5,85,33,52,93
17-18,Man City,38,32,4,2,106,27,79,100
18-19,Man City,38,32,2,4,95,23,72,98
19-20,Liverpool,38,32,3,3,85,33,52,99
20-21,Man City,38,27,5,6,83,32,51,86
